"","Sample_Name","Tube_Sample","Sample","Group","Seedling_sp","Mother_sp","Seedling_ID","Soil_ID","Tube_label","Seedling_status_at_collection","Date_sample_collected","Extraction_date","Sample_type","Sample_weight_mg","Notes"
"157","STRI_F_R156","F_R156","R156","FUN",NA,NA,"58779_0803_3_01",NA,"UR156","",20190828,NA,"Unsterile root",11.3,""
"158","STRI_F_R157","F_R157","R157","FUN",NA,NA,"58779_0820_1_04",NA,"UR157","",20190828,NA,"Unsterile root",2.1,""
"159","STRI_F_R158","F_R158","R158","FUN",NA,NA,"42320_0820_1_02",NA,"UR158","",20190828,NA,"Unsterile root",23.9,"No way to tell which one is 2 and which one is 8, but think the heaver one must be 2, because 8 was tiny"
"160","STRI_O_R158","O_R158","R158","OOMY",NA,NA,"42320_0820_1_03",NA,"UR159","",20190828,NA,"Unsterile root",23.9,"No way to tell which one is 2 and which one is 8, but think the heaver one must be 2, because 8 was tiny"
"161","STRI_F_R159","F_R159","R159","FUN",NA,NA,"42320_0820_1_08",NA,"UR159","",20190828,NA,"Unsterile root",8.1,""
"162","STRI_F_R160","F_R160","R160","FUN",NA,NA,"42320_1901_3_01",NA,"UR160","",20190828,NA,"Unsterile root",1.5,""
"163","STRI_F_R161","F_R161","R161","FUN",NA,NA,"12855_0803_1_01",NA,"UR161","",20190924,NA,"Unsterile root",2.2,""
"164","STRI_F_R162","F_R162","R162","FUN",NA,NA,"42320_1901_3_02",NA,"UR162","",20190828,NA,"Unsterile root",7.9,""
"165","STRI_F_R163","F_R163","R163","FUN",NA,NA,"13687_0407_3_02",NA,"UR163","",20190828,NA,"Unsterile root",1.5,""
"166","STRI_F_R164","F_R164","R164","FUN",NA,NA,"42320_0803_3_02",NA,"UR164","",20190828,NA,"Unsterile root",4.1,""
"167","STRI_F_R165","F_R165","R165","FUN",NA,NA,"12855_0820_1_01",NA,"UR165","",20190814,NA,"Unsterile root",3.7,""
"168","STRI_F_R166","F_R166","R166","FUN",NA,NA,"02512_0820_1_01",NA,"UR166","",20190814,NA,"Unsterile root",3,""
"169","STRI_F_R169","F_R169","R169","FUN",NA,NA,"01772_0803_1_04",NA,"UR169","Healthy",20191004,NA,"Unsterile root",NA,""
"170","STRI_F_R172","F_R172","R172","FUN",NA,NA,"01772_0407_1_02",NA,"UR172","Healthy",20191004,NA,"Unsterile root",6,""
"171","STRI_O_R172","O_R172","R172","OOMY",NA,NA,"01772_0407_1_03",NA,"UR173","Healthy",20191004,NA,"Unsterile root",6,""
"172","STRI_F_R173","F_R173","R173","FUN",NA,NA,"01687_0820_1_08",NA,"UR173","Healthy",20191004,NA,"Unsterile root",5,""
"173","STRI_F_R175","F_R175","R175","FUN",NA,NA,"13687_0820_1_10",NA,"UR175","Healthy",20191011,NA,"Unsterile root",26,""
"174","STRI_F_R180","F_R180","R180","FUN",NA,NA,"42320_0820_1_15",NA,"UR180","Healthy",20191011,NA,"Unsterile root",8,""
"175","STRI_F_R181","F_R181","R181","FUN",NA,NA,"42320_0407_3_01",NA,"UR181","Healthy",20191011,NA,"Unsterile root",NA,""
"176","STRI_F_R184","F_R184","R184","FUN",NA,NA,"02512_0820_1_07",NA,"UR184","Healthy",20191011,NA,"Unsterile root",3,""
"177","STRI_F_R189","F_R189","R189","FUN",NA,NA,"02512_0820_1_02",NA,"UR189","Healthy",20191011,NA,"Unsterile root",16,""
"178","STRI_F_R191","F_R191","R191","FUN",NA,NA,"12249_0820_1_06",NA,"UR191","",20190903,NA,"Unsterile root",NA,""
"179","STRI_F_R192","F_R192","R192","FUN",NA,NA,"01772_0820_1_05",NA,"UR192","",20191001,NA,"Unsterile root",38,""
"180","STRI_F_R195","F_R195","R195","FUN",NA,NA,"01772_0407_1_03",NA,"UR195","",20191001,NA,"Unsterile root",27,""
"181","STRI_F_R198","F_R198","R198","FUN",NA,NA,"58779_0803_2_02",NA,"UR198","",20190926,NA,"Unsterile root",NA,""
"182","STRI_F_R201","F_R201","R201","FUN",NA,NA,"01401_0803_1_02",NA,"UR201","",20191001,NA,"Unsterile root",46,""
"183","STRI_F_R204","F_R204","R204","FUN",NA,NA,"03546_0803_1_01",NA,"UR204","",20191004,NA,"Unsterile root",10,""
"184","STRI_F_R207","F_R207","R207","FUN",NA,NA,"01687_0820_1_04",NA,"UR207","",20191004,NA,"Unsterile root",13,""
"185","STRI_F_R210","F_R210","R210","FUN",NA,NA,"15809_0820_1_03",NA,"UR210","",20191004,NA,"Unsterile root",6,""
